Quantity,Name,Set Name,Collector Number,Foil/Variant,Condition,Language
1,Abandon Reason,Eldritch Moon,115,Normal,NM,EN
1,Aberrant Researcher // Perfected Form,Shadows over Innistrad,49,Normal,NM,EN
1,Abnormal Endurance,Core Set 2019,85,Normal,NM,EN
1,Abomination of Llanowar,Commander Legends,265,Normal,NM,EN
2,Abrade,Magic Game Day Cards,61,Normal,NM,EN
1,Abrade,Hour of Devastation,83,Normal,NM,EN
4,Abrupt Decay,Return to Ravnica,141,Normal,NM,EN
4,Abundant Growth,Avacyn Restored,167,Normal,NM,EN
1,Academic Dispute,Strixhaven: School of Mages,91,Normal,NM,EN
3,Academy Drake,Dominaria,40,Normal,NM,EN
4,Academy Journeymage,Dominaria,41,Normal,NM,EN
1,Academy Ruins,Double Masters,369,Foil,NM,EN
1,Academy Ruins,Time Spiral,269,Normal,NM,EN
1,Accomplished Alchemist,Strixhaven: School of Mages,119,Normal,NM,EN
1,Accomplished Automaton,Kaladesh,191,Normal,NM,EN
1,Acidic Slime,Secret Lair Drop,134,Normal,NM,EN
1,Acrobatic Maneuver,Kaladesh,1,Normal,NM,EN
1,Act of Treason,Core Set 2019,127,Foil,NM,EN
1,Ad Nauseam,Shards of Alara,63,Normal,NM,EN
1,Ad Nauseam,Shards of Alara,63,Foil,NM,EN
4,Adamant Will,Dominaria,2,Normal,NM,EN
1,Adarkar Valkyrie,Commander 2014,63,Normal,NM,EN
1,Adventure Awaits,Zendikar Rising,177,Normal,NM,EN
6,Adventurous Impulse,Dominaria,153,Normal,NM,EN
2,Aeronaut Cavalry,The Brothers' War,1,Normal,NM,EN
2,Aesthir Glider,Dominaria,209,Normal,NM,EN
4,Aether Gust,Core Set 2020,42,Normal,NM,EN
1,Aether Helix,Strixhaven: School of Mages,162,Normal,NM,EN
1,Aether Theorist,Kaladesh,37,Normal,NM,EN
1,Aetherflux Reservoir,The Brothers' War Retro Artifacts,65,Normal,NM,EN
1,Aetherflux Reservoir,Kaladesh,192,Foil,NM,EN
1,Afterlife,Commander 2014,64,Normal,NM,EN
1,Aim High,Shadows over Innistrad,193,Normal,NM,EN
1,Airlift Chaplain,The Brothers' War,2,Normal,NM,EN
2,Ajani's Pridemate,Duel Decks: Ajani vs. Nicol Bolas,9,Normal,NM,EN
1,Ajani's Pridemate,Magic 2011,3,Normal,NM,EN
1,"Alena, Kessig Trapper",Commander Legends,160,Foil,NM,EN
1,Alhammarret's Archive,Magic Origins,221,Normal,NM,EN
1,"Alharu, Solemn Ritualist",Commander Legends,4,Normal,NM,EN
1,All Is Dust,Rise of the Eldrazi,1,Normal,NM,EN
4,All That Glitters,Throne of Eldraine,2,Normal,NM,EN
1,Allosaurus Shepherd,Jumpstart,28,Normal,NM,EN
1,Alms of the Vein,Shadows over Innistrad,98,Normal,NM,EN
1,Alpine Grizzly,Khans of Tarkir,127,Normal,NM,EN
1,Alpine Moon,Core Set 2019,128,Normal,NM,EN
1,Altar of the Brood,Khans of Tarkir,216,Foil,NM,EN
1,Altar of the Goyf,Modern Horizons 2,220,Normal,NM,EN
2,Always Watching,Shadows over Innistrad,1,Normal,NM,EN
2,Amaranthine Wall,Dominaria,210,Normal,NM,EN
2,Ambassador Oak,Masters 25,158,Normal,NM,EN
1,Amber Prison,Mirage,257,Normal,NM,EN
1,Ambush Paratrooper,The Brothers' War,3,Normal,NM,EN
1,Ambush Viper,Commander Legends,213,Normal,NM,EN
1,Ambush Viper,Commander Legends,213,Foil,NM,EN
2,Amorphous Axe,Commander Legends,295,Normal,NM,EN
